DHSID,DHSYEAR,DHSCLUST,LATNUM,LONGNUM,Mean_BMI,Median_BMI,Unmet_Need_Rate,Under5_Mortality_Rate,Skilled_Birth_Attendant_Rate,Stunted_Rate,URBAN_RURA
NP201600000374,2016,374,28.540575,80.856737,21.5,21.1,8.33,12.82,82.35,16.67,R
NP201600000375,2016,375,28.68396,80.487054,23.4,21.42,20.83,5.26,50,33.33,R
NP201600000376,2016,376,29.36955,80.537299,20.66,20.72,37.5,4.92,75,50,R
NP201600000378,2016,378,29.447135,80.429075,19.54,18.88,26.32,9.72,54.55,50,U
NP201600000380,2016,380,29.498799,80.654905,20.08,19.24,46.67,14.08,40,60,R
NP201600000382,2016,382,29.819,80.654388,21.98,20.86,27.78,14.29,23.81,27.27,R
NP201600000383,2016,383,29.745079,80.389579,21.3,20.86,38.1,2.63,62.5,0,R
PE200000000001,2000,1,-6.228188,-77.860661,26.59,26.83,12.5,6.25,57.14,66.67,U
PE200000000002,2000,2,-6.239095,-77.884765,25.45,24.36,14.29,9.62,25,NaN,U
PE200000000004,2000,4,-6.235459,-77.872279,23.22,22.08,0,0,100,0,U
PE200000000005,2000,5,-6.227508,-77.869646,22.94,23.3,14.29,3.03,20,NaN,U
PE200000000006,2000,6,-5.838422,-77.942118,26.57,25.22,15.38,7.58,25,37.5,U
PE200000000007,2000,7,-5.81927,-77.951621,25.89,24.42,18.75,6.1,10,NaN,U
PE200000000009,2000,9,-5.617196,-78.430504,25.39,24.9,9.09,2.86,80,22.22,U
PE200000000010,2000,10,-5.595664,-78.437713,24.21,23.45,16.67,7.41,28.57,NaN,U
PE200000000011,2000,11,-5.76412,-78.435722,25.99,25.46,19.05,6.45,60,25,U
PE200000000012,2000,12,-5.7569,-78.439733,23.47,22.76,14.29,10.45,50,NaN,U
PE200000000013,2000,13,-5.763727,-78.44682,23.62,23.2,17.65,8.33,35.29,17.65,U
PE200000000014,2000,14,-5.960754,-77.977662,26.23,26.47,0,4.92,58.33,37.5,U
PE200000000015,2000,15,-6.153536,-78.362799,24.58,24.43,4.17,4.71,41.67,NaN,R
PE200000000017,2000,17,-6.085101,-77.713491,23.11,23.35,20,6.25,33.33,NaN,R
PE200000000018,2000,18,-6.612741,-77.803245,25.16,25.74,0,7.32,66.67,55.56,R
PE200000000019,2000,19,-5.765076,-78.402548,21.84,22.23,0,4.29,50,18.18,R
PE200000000020,2000,20,-5.923107,-78.638671,25.62,26.54,40,6.06,44.44,NaN,R
PE200000000022,2000,22,-5.771684,-77.942421,24.36,23.9,9.09,5.83,0,NaN,R
PE200000000023,2000,23,-6.12071,-78.210332,23.97,24.27,6.25,12.37,0,22.73,R
PE200000000024,2000,24,-6.172503,-78.271116,24.19,25.34,20,14.29,37.5,18.18,R
PE200000000025,2000,25,-6.31755,-78.296138,24.53,24.45,21.05,13.13,11.11,NaN,R
PE200000000026,2000,26,-6.535147,-77.852641,24.09,24.26,28.57,12.5,5.26,57.69,R
PE200000000027,2000,27,-6.171941,-77.522405,23.57,23.13,27.27,11.11,28.57,NaN,R
PE200000000028,2000,28,-6.519577,-77.747879,26.66,26.66,75,5.56,0,64.29,R
PE200000000029,2000,29,-6.659975,-77.751063,21.05,21.05,20,4,11.11,77.78,R
PE200000000030,2000,30,-6.62597,-77.808761,25.26,23.8,0,24.56,57.14,NaN,R
PE200000000032,2000,32,-4.410669,-78.271553,NaN,NaN,40,8.2,0,NaN,R
PE200000000033,2000,33,-5.63846,-78.512194,19.42,19.42,60,14.29,0,37.5,R
PE200000000034,2000,34,-5.616648,-78.420099,23.28,23.07,50,2.86,0,0,R
PE200000000035,2000,35,-5.478412,-78.344508,23.31,22.55,31.58,8.42,0,NaN,R
PE200000000037,2000,37,-5.051553,-78.317182,24.9,24.24,14.29,4.67,24,NaN,R
PE200000000038,2000,38,-5.745714,-78.568583,24.03,22.43,23.08,7.25,30,14.29,R
PE200000000039,2000,39,-5.849134,-78.513163,23.75,23.61,33.33,11.49,0,42.86,R
PE200000000040,2000,40,-5.827566,-78.322632,25.09,24.92,21.43,5.56,44.44,NaN,R
PE200000000041,2000,41,-5.674141,-78.124584,22.48,22.29,20,16.85,6.25,20,R
PE200000000042,2000,42,-5.779407,-78.293339,26.54,24.75,0,2.17,46.67,NaN,R
PE200000000043,2000,43,-5.678877,-78.30103,24.96,21.96,8.33,16,28.57,38.89,R
PE200000000045,2000,45,-5.877853,-78.270876,23.24,23.7,42.86,10,3.23,NaN,R
PE200000000047,2000,47,-6.04419,-77.929228,28.22,25.91,16.67,13.73,12.5,NaN,R
PE200000000048,2000,48,-5.71591,-77.883297,24.16,23.68,12.5,6.59,10.53,30.43,R
PE200000000049,2000,49,-6.402797,-77.501659,23.13,22.57,0,8.33,66.67,0,R
PE200000000050,2000,50,-6.486591,-77.44544,23.65,24.22,0,17.31,18.75,NaN,R
PE200000000051,2000,51,-9.51908,-77.533947,26.73,27.5,0,5.56,0,20,U
PE200000000052,2000,52,-9.532589,-77.522733,22.86,22.26,0,3.57,100,NaN,U
PE200000000053,2000,53,-9.518941,-77.519784,26.57,26.7,0,0,100,14.29,U
PE200000000054,2000,54,-9.54015,-77.530909,25.01,24.64,9.09,6.82,75,50,U
PE200000000055,2000,55,-9.531041,-77.533034,27.09,27.18,12.5,0,66.67,NaN,U
PE200000000056,2000,56,-9.516601,-77.54051,24.71,24.6,0,12.5,66.67,0,U
PE200000000057,2000,57,-9.531194,-77.521496,27.05,27.67,20,11.11,50,NaN,U
PE200000000058,2000,58,-9.098523,-78.508078,26.71,26.74,13.04,8.11,70.37,16.67,U
PE200000000060,2000,60,-9.110412,-78.521689,26.27,27.13,9.09,2.56,69.23,NaN,U
PE200000000062,2000,62,-9.115367,-78.513885,26.09,25.41,10.53,3.77,77.78,NaN,U
PE200000000063,2000,63,-9.0215,-78.600191,25.95,26.58,22.22,0,25,0,U
PE200000000064,2000,64,-9.170279,-78.368081,29.73,28.66,16.67,4.76,83.33,16.67,U
PE200000000065,2000,65,-8.989634,-78.620206,30.02,30.9,11.11,6.67,66.67,NaN,U
PE200000000067,2000,67,-9.485825,-78.316525,31.14,33.2,20,10.26,80,NaN,U
PE200000000068,2000,68,-9.479593,-78.294709,27.99,26.1,22.22,7.69,75,0,U
PE200000000070,2000,70,-8.194913,-77.902001,24.66,25.64,0,25,NaN,NaN,U
PE200000000071,2000,71,-9.061159,-77.807411,26.48,26.28,50,5,33.33,20,U
PE200000000072,2000,72,-8.869357,-77.893962,24.91,23.83,0,0,NaN,NaN,U
PE200000000073,2000,73,-9.280167,-77.644781,25.15,25.15,50,0,33.33,50,U
PE200000000074,2000,74,-9.348094,-77.158128,26.34,25.74,0,5,66.67,33.33,U
PE200000000075,2000,75,-9.18909,-76.790727,22.33,22.33,0,22.22,0,NaN,U
PE200000000076,2000,76,-9.892738,-76.925652,28.61,28.6,0,0,100,NaN,U
PE200000000077,2000,77,-9.709167,-77.450493,25.53,25.03,33.33,0,75,NaN,U
PE200000000080,2000,80,-9.299829,-77.677326,27.32,28,0,6.12,62.5,NaN,R
PE200000000081,2000,81,-9.355262,-77.08557,24.1,23.96,25,8.82,50,20,R
PE200000000082,2000,82,-10.164436,-77.463352,25.86,22.8,10,0,81.82,NaN,R
PE200000000083,2000,83,-9.894736,-77.737186,23.76,23.76,25,3.23,28.57,50,R
PE200000000085,2000,85,-8.404469,-78.037273,26.11,26.89,8.33,5.26,5.56,NaN,R
PE200000000087,2000,87,-8.948443,-78.008547,23.85,23.31,33.33,6.82,21.43,NaN,R
PE200000000088,2000,88,-9.120286,-78.006998,25.65,25.22,50,15.31,7.69,75,R
PE200000000089,2000,89,-8.814594,-77.490685,22.7,21.78,10,12.99,11.76,76.47,R
PE200000000090,2000,90,-8.794193,-77.461582,22.68,22.88,61.54,14.63,3.57,NaN,R
PE200000000091,2000,91,-9.014686,-77.348209,24.08,23.3,25,14.29,14.29,63.64,R
PE200000000092,2000,92,-9.113325,-77.347654,22.46,21.64,18.18,17.95,23.53,NaN,R
PE200000000093,2000,93,-9.370436,-77.571536,27.84,26.8,37.5,20,3.12,47.06,R
PE200000000095,2000,95,-9.433205,-77.839411,24.49,23.88,53.85,9.09,0,NaN,R
PE200000000097,2000,97,-9.682182,-77.461151,25.1,24.43,25,12.5,18.18,NaN,R
PE200000000098,2000,98,-9.186607,-78.031947,24.74,24.34,23.53,7.5,5,42.11,R
PE200000000099,2000,99,-9.210475,-76.775349,22.11,23.06,43.75,13.43,0,52.38,R
PE200000000100,2000,100,-9.104142,-76.994073,23.15,22.2,14.29,9.62,10,NaN,R
PE200000000101,2000,101,-9.664417,-77.51443,24.52,23.24,0,5.19,0,58.82,R
PE200000000102,2000,102,-10.401735,-77.21016,25.56,24.22,0,20,20,NaN,R
PE200000000103,2000,103,-13.63474,-72.877221,23.98,23.76,0,11.11,50,NaN,U
PE200000000104,2000,104,-13.639593,-72.861044,24.14,23.54,0,8.96,78.57,12.5,U
PE200000000105,2000,105,-13.641299,-72.883123,25.15,24.96,27.27,6,100,NaN,U
PE200000000106,2000,106,-13.646235,-72.871619,24.89,23.54,10,16.67,100,0,U
PE200000000107,2000,107,-13.627014,-72.889634,24.45,24,9.09,6.67,100,0,U
PE200000000108,2000,108,-13.646131,-72.862448,25.1,25.76,20,10.61,75,NaN,U
PE200000000109,2000,109,-13.608869,-72.882467,27.19,25.98,0,15.25,100,14.29,U
PE200000000110,2000,110,-13.644525,-73.388386,24.34,23.84,8.33,3.77,90,NaN,U
PE200000000111,2000,111,-13.656756,-73.398318,23.17,22.6,8.33,1.82,66.67,30,U
PE200000000112,2000,112,-13.642961,-73.357009,25.41,25.08,0,8.25,66.67,12.5,U
PE200000000113,2000,113,-13.641385,-73.418916,26.8,26.2,8.33,5.56,83.33,NaN,U
PE200000000114,2000,114,-14.289267,-73.245187,24.73,23.92,0,14.29,70,0,U
PE200000000115,2000,115,-14.116615,-72.71212,25.79,24.92,20,7.41,44.44,NaN,U
PE200000000117,2000,117,-13.58104,-73.35792,26.33,25.73,14.29,10.71,75,33.33,R
PE200000000118,2000,118,-13.849399,-72.874144,25.56,25.06,27.27,11.84,46.15,NaN,R
PE200000000119,2000,119,-14.000795,-73.23242,23.88,23.06,20,7.25,47.62,58.33,R
PE200000000120,2000,120,-14.205999,-73.089792,24.85,24.4,14.29,14.29,23.08,NaN,R
PE200000000121,2000,121,-14.061538,-72.66956,NaN,NaN,0,11.11,50,12.5,R
PE200000000122,2000,122,-14.28841,-72.676535,24.11,24.72,18.18,14.81,7.14,61.54,R
PE200000000123,2000,123,-13.512279,-73.715211,23.97,23.49,26.67,19.15,13.04,NaN,R
PE200000000125,2000,125,-13.356139,-73.722589,25.21,26.06,30,0,20,NaN,R
PE200000000126,2000,126,-13.488167,-73.555037,25.72,25.5,13.33,11.22,52.94,25,R
PE200000000127,2000,127,-13.687051,-73.658409,23.06,23.34,20,8.7,57.14,85.71,R
PE200000000128,2000,128,-13.795847,-73.391923,25.55,24.94,25,11.11,18.18,NaN,R
PE200000000129,2000,129,-13.549132,-73.341274,23.73,24.08,0,5.77,15.38,66.67,R
PE200000000130,2000,130,-13.668288,-73.037425,24.33,24.44,11.11,12.9,42.86,NaN,R
PE200000000131,2000,131,-13.994791,-73.559216,23.29,23.29,50,5.41,13.33,83.33,R
PE200000000132,2000,132,-13.608388,-73.140377,24.87,25.5,0,12.64,27.27,37.5,R
PE200000000133,2000,133,-13.632365,-73.269323,23.21,22.23,8.7,18.1,26.32,NaN,R
PE200000000134,2000,134,-14.193501,-73.48939,22.06,22.06,33.33,17.46,9.52,56.25,R
PE200000000135,2000,135,-13.61117,-73.325694,26.42,26.36,6.67,7.69,36.36,NaN,R
PE200000000136,2000,136,-13.637557,-73.453527,22.75,22.62,40.91,15.44,31.43,33.33,R
PE200000000138,2000,138,-13.790557,-73.494102,23.67,22.45,41.18,16.05,25,NaN,R
PE200000000140,2000,140,-13.518353,-72.736298,24.18,23.64,21.05,8.55,47.83,NaN,R
PE200000000141,2000,141,-13.419579,-72.88663,25.09,24.46,18.75,9.88,31.25,55.56,R
PE200000000142,2000,142,-13.779795,-72.960038,24.51,24.18,7.69,15.62,53.85,33.33,R
PE200000000143,2000,143,-14.271461,-73.284754,24.2,23.89,28.57,5,25,NaN,R
PE200000000144,2000,144,-14.404515,-73.23231,23.33,24.21,12.5,21.43,50,11.11,R
PE200000000145,2000,145,-14.238152,-73.11775,25.88,27.88,16.67,6,66.67,NaN,R
PE200000000146,2000,146,-13.859096,-73.042264,22.01,21.85,25,33.33,42.86,37.5,R
PE200000000147,2000,147,-14.077702,-72.704673,21.97,21.97,66.67,4.55,16.67,50,R
PE200000000148,2000,148,-13.923927,-72.534895,23.52,23.52,33.33,20.97,36.36,NaN,R
PE200000000149,2000,149,-14.143289,-72.664105,24.14,23.9,40,11.69,33.33,85.71,R
PE200000000150,2000,150,-13.942282,-72.12297,21.77,21.29,25,15.65,5.13,NaN,R
PE200000000151,2000,151,-13.726139,-72.343333,23.8,23.9,25,19.57,33.33,36.84,R
PE200000000152,2000,152,-14.115117,-72.066811,22.33,22.77,12.5,31.67,23.08,68.75,R
PE200000000153,2000,153,-16.401764,-71.534755,25.39,25.1,0,0,100,NaN,U
PE200000000154,2000,154,-16.406644,-71.542521,24.15,24,0,0,100,0,U
PE200000000155,2000,155,-16.40226,-71.5353,24.23,22.6,0,0,NaN,NaN,U
PE200000000156,2000,156,-16.395476,-71.531614,25.36,24.67,11.11,0,100,0,U
PE200000000157,2000,157,-16.365999,-71.532584,25.61,24.47,8.33,0,60,0,U
PE200000000158,2000,158,-16.364538,-71.530383,27.41,26.12,0,15.79,81.82,NaN,U
PE200000000159,2000,159,-16.373228,-71.522531,25.06,24.12,0,9.68,78.57,0,U
PE200000000160,2000,160,-16.37251,-71.527284,24.4,23.69,0,3.85,100,NaN,U
PE200000000161,2000,161,-16.383875,-71.543559,25.31,25.24,0,0,0,0,U
PE200000000162,2000,162,-16.401437,-71.546966,25.58,25.2,11.11,0,57.14,37.5,U
PE200000000163,2000,163,-16.386729,-71.557849,25.55,24.16,0,12.24,66.67,NaN,U
PE200000000165,2000,165,-16.380362,-71.561188,24.29,24.23,0,3.03,83.33,NaN,U
PE200000000166,2000,166,-16.391845,-71.556786,24.73,22.96,0,4.76,100,0,U
PE200000000167,2000,167,-16.368796,-71.547345,25.96,26.47,11.11,2.94,100,0,U
PE200000000168,2000,168,-16.377002,-71.575385,26.11,26.32,0,3.03,100,NaN,U
PE200000000169,2000,169,-16.375492,-71.559867,27.59,27.23,8.33,4.35,77.78,33.33,U
PE200000000170,2000,170,-16.468716,-71.468186,25.62,26.12,0,0,0,NaN,U
PE200000000171,2000,171,-16.456538,-71.55852,26.16,24.48,12.5,12.31,100,0,U
PE200000000173,2000,173,-16.405903,-71.512477,24.99,24.56,9.09,2.33,90.91,NaN,U
PE200000000175,2000,175,-16.40765,-71.519209,25.22,24.65,0,4.76,87.5,NaN,U
PE200000000176,2000,176,-16.400282,-71.518225,24.68,24.72,0,3.45,100,0,U
PE200000000177,2000,177,-16.407924,-71.525736,25.08,25.26,0,7.41,90,0,U
PE200000000178,2000,178,-16.439789,-71.488608,25.83,25.56,28.57,0,60,NaN,U
PE200000000180,2000,180,-16.446233,-71.495689,26.55,25.32,20,12.28,92.31,NaN,U
PE200000000181,2000,181,-16.431652,-71.501145,24.29,24.24,0,5.88,75,0,U
PE200000000182,2000,182,-16.430514,-71.487628,25.22,23.79,16.67,3.03,100,0,U
PE200000000183,2000,183,-16.430549,-71.510001,24.82,24.72,10,4,60,NaN,U
PE200000000184,2000,184,-16.435916,-71.562975,24.78,24.31,0,0,71.43,0,U
PE200000000185,2000,185,-16.47204,-71.526973,27.06,24.98,11.11,0,100,NaN,U
PE200000000186,2000,186,-16.459036,-71.52199,27.47,27.8,11.76,0,100,0,U
PE200000000188,2000,188,-16.438844,-71.601952,27.27,26.6,22.22,17.07,100,NaN,U
PE200000000190,2000,190,-16.257567,-71.680988,24.51,24.5,23.53,8.11,52.38,NaN,U
PE200000000193,2000,193,-17.030404,-72.006027,25.12,25.37,0,0,100,NaN,U
PE200000000194,2000,194,-17.025431,-72.016516,23.61,23.36,0,7.69,66.67,0,U
PE200000000195,2000,195,-17.175784,-71.796323,26.25,27.06,12.5,5.77,46.15,NaN,U
PE200000000197,2000,197,-15.267415,-72.340262,22.69,23.39,0,4.17,20,0,U
PE200000000198,2000,198,-16.414679,-73.098127,26.25,26.64,0,7.14,100,NaN,R
PE200000000200,2000,200,-15.619583,-71.678702,22.91,22.21,0,15.62,42.86,NaN,R
PE200000000201,2000,201,-16.426153,-71.636596,27.21,26.34,15.38,10.34,60,28.57,R
PE200000000203,2000,203,-16.462824,-71.877297,25.45,25,25,4.55,0,NaN,R
PE200000000204,2000,204,-15.166154,-72.725565,26.21,25.37,43.75,23.01,0,66.67,R
PE200000000205,2000,205,-15.451487,-72.926811,22.67,22.67,33.33,0,0,NaN,R
PE200000000206,2000,206,-15.705196,-72.590795,24.4,22.72,14.29,6.67,100,0,R
PE200000000207,2000,207,-15.972117,-71.994359,22.83,24.14,0,13.89,0,33.33,R
PE200000000208,2000,208,-16.491363,-71.351194,24.74,23.36,0,2.78,28.57,NaN,R
PE200000000209,2000,209,-13.152718,-74.225551,24.32,24.41,27.27,10.64,63.64,36.36,U
PE200000000210,2000,210,-13.173066,-74.22644,25.72,25.35,0,5.56,14.29,NaN,U
PE200000000211,2000,211,-13.15986,-74.223948,23.31,22.78,0,0,100,0,U
PE200000000213,2000,213,-13.15862,-74.221923,24.73,23.44,0,16.28,16.67,NaN,U
PE200000000214,2000,214,-13.169011,-74.230694,25.57,25.07,12.5,3.03,12.5,0,U
PE200000000215,2000,215,-13.153332,-74.215092,24.36,24.04,6.25,1.64,40,NaN,U
PE200000000216,2000,216,-13.155571,-74.239924,23.75,21.98,15.38,0,61.54,28.57,U
PE200000000218,2000,218,-13.163129,-74.233395,25,22.34,18.18,2.38,57.14,NaN,U
PE200000000219,2000,219,-13.173461,-74.228059,23.14,23.04,25,2.7,100,18.18,U
PE200000000220,2000,220,-13.158754,-74.226382,24.43,24.52,23.08,12.12,71.43,NaN,U
PE200000000222,2000,222,-13.164367,-74.226863,23.45,23.03,0,8.7,66.67,0,U
PE200000000223,2000,223,-12.954751,-74.25239,25.18,23.81,0,9.43,50,NaN,U
PE200000000224,2000,224,-12.923707,-74.252428,25.18,24.2,8.33,1.69,62.5,0,U
PE200000000225,2000,225,-12.94277,-74.25485,25.93,24.86,22.22,5.56,20,NaN,U
PE200000000226,2000,226,-13.648567,-73.956178,26.2,25.31,25,16.07,25,30.77,U
PE200000000228,2000,228,-14.690028,-74.115442,24.25,24.25,0,14.58,69.23,NaN,U
PE200000000229,2000,229,-14.682974,-74.124668,25.33,25.15,22.22,3.7,87.5,25,U
PE200000000230,2000,230,-12.864743,-73.5838,25.11,24.73,15.79,6.41,47.06,NaN,U
PE200000000231,2000,231,-13.221864,-73.623594,23.68,23.68,20,15.38,5.88,66.67,R
PE200000000233,2000,233,-13.621423,-74.02184,25.18,24.32,14.29,9.09,54.55,NaN,R
PE200000000234,2000,234,-13.718327,-74.255689,23.72,24.25,44.44,19.72,18.75,42.86,R
PE200000000235,2000,235,-13.852249,-74.292611,23.16,23.01,9.09,4,44.44,NaN,R
PE200000000237,2000,237,-14.160556,-74.93704,25.95,25.67,28.57,6.9,100,36.36,R
PE200000000238,2000,238,-14.25498,-73.984788,23.77,23.39,20,8.93,85.71,NaN,R
PE200000000239,2000,239,-15.249082,-73.190985,23.94,23.46,0,7.41,42.86,23.08,R
PE200000000240,2000,240,-12.906985,-74.255771,23.71,24.73,66.67,6.38,22.86,NaN,R
PE200000000241,2000,241,-12.981828,-74.279559,24.14,23.94,33.33,3.23,55.56,47.37,R
PE200000000243,2000,243,-12.925918,-73.860878,24.64,24.85,63.64,15.38,0,NaN,R
PE200000000244,2000,244,-13.394098,-74.882938,22.96,22.86,41.67,5.38,0,36.36,R
PE200000000245,2000,245,-13.330139,-73.879343,22.39,21.19,75,7.14,8.33,NaN,R
PE200000000247,2000,247,-13.25142,-74.107161,23.95,22.41,34.78,6.19,40.62,30,R
PE200000000248,2000,248,-13.365453,-73.8609,25.54,24.95,7.14,11.43,21.43,NaN,R
PE200000000249,2000,249,-13.023185,-74.164184,25.79,25.82,14.29,0,46.67,50,R
PE200000000250,2000,250,-13.202336,-74.311026,22.55,22.78,12.5,11.63,10.53,NaN,R
PE200000000252,2000,252,-13.624408,-74.127237,24.37,24.12,0,0,50,12.5,R
PE200000000253,2000,253,-13.555118,-74.150948,25.53,26.99,20,7.81,81.25,NaN,R
PE200000000255,2000,255,-13.623595,-73.842639,23.36,24.43,0,27.78,0,26.67,R
PE200000000256,2000,256,-13.874014,-73.887101,23.86,23.86,25,10.53,18.18,NaN,R
PE200000000258,2000,258,-13.569785,-74.639275,27.11,26.29,36.36,13.04,9.52,NaN,R
PE200000000259,2000,259,-13.982885,-73.814228,22.27,22.07,0,7.14,53.85,80,R
PE200000000260,2000,260,-14.734414,-74.077883,23.33,22.34,50,10,50,NaN,R
PE200000000261,2000,261,-14.464037,-73.644437,26.37,26.37,30,23.46,20,72.22,R
PE200000000262,2000,262,-14.198646,-74.886396,25.04,25.04,0,0,100,20,R
PE200000000263,2000,263,-14.7961,-74.196858,23.23,23.21,30,9.8,15.38,NaN,R
PE200000000265,2000,265,-15.241798,-73.816902,25.57,23.4,20,8.22,0,NaN,R
PE200000000266,2000,266,-15.262529,-73.224565,23.52,23.52,0,4.76,14.29,37.5,R
PE200000000267,2000,267,-12.564202,-73.880694,23.62,22.87,28.57,8.05,32,36.84,R
PE200000000268,2000,268,-12.738173,-73.726655,23.1,21.89,25,15.38,12.5,NaN,R
PE200000000269,2000,269,-6.376808,-78.82131,24.92,24.34,0,8.89,25,NaN,U
PE200000000271,2000,271,-6.374144,-78.814396,27.68,26.23,6.25,9.09,70,NaN,U
PE200000000273,2000,273,-6.557421,-78.647183,26.07,25.38,14.29,11.11,66.67,25,U
PE200000000274,2000,274,-7.262154,-79.151485,26.27,24.48,12.5,4.35,66.67,NaN,U
PE200000000275,2000,275,-6.534235,-78.630712,26.14,25.34,9.09,4.71,36.36,0,R
PE200000000276,2000,276,-7.244502,-79.127685,26.71,25.08,27.27,18.52,10,NaN,U
PE200000000277,2000,277,-6.678852,-78.520456,24.99,25.24,20,8,14.29,57.14,R
PE200000000278,2000,278,-7.332332,-78.185601,24.33,23.2,30,0,60,0,U
PE200000000279,2000,279,-6.150009,-78.70126,26.61,27.22,50,11.9,40,NaN,U
PE200000000280,2000,280,-6.757162,-78.602832,25.24,25.24,11.11,0,57.14,0,U
PE200000000281,2000,281,-7.364475,-78.032418,26.02,22.94,0,15.79,25,NaN,R
PE200000000283,2000,283,-7.091672,-78.541262,24.87,24.73,0,11.54,6.67,50,R
PE200000000284,2000,284,-7.356726,-78.485478,24.66,24.25,25,9.8,0,NaN,R
PE200000000286,2000,286,-7.134775,-78.424793,23.67,24.1,16.67,13.64,0,NaN,R
PE200000000287,2000,287,-7.209664,-78.296169,24.2,24.24,100,14.29,25,58.33,R
PE200000000289,2000,289,0,0,23.09,22.54,33.33,12.96,0,NaN,R
PE200000000290,2000,290,-6.749635,-78.32261,24.62,23.29,30,13.64,15.38,47.06,R
PE200000000291,2000,291,-6.960684,-78.277714,25.18,26.27,25,16.67,0,NaN,R
PE200000000292,2000,292,-6.597071,-78.675192,21.81,21.58,14.29,10,20,25,R
PE200000000293,2000,293,-6.524745,-78.605118,22.06,22.33,0,0,0,83.33,R
PE200000000294,2000,294,-6.594541,-78.638998,25.72,25.18,50,9.09,0,NaN,R
PE200000000295,2000,295,-6.508802,-78.885761,23.27,22.55,40.91,5.45,23.81,63.64,R
PE200000000296,2000,296,-6.661392,-78.734121,22.67,22.54,18.18,0,38.46,NaN,R
PE200000000299,2000,299,-7.252976,-79.005776,22.23,22.61,0,8.11,0,NaN,R
PE200000000300,2000,300,-6.311191,-78.833243,23.82,22.92,7.69,13.51,0,50,R
PE200000000301,2000,301,-6.154374,-78.813432,24.61,22.94,12.5,20.59,14.29,NaN,R
PE200000000302,2000,302,-6.247877,-78.658473,23.39,23.56,30,3.28,0,78.57,R
PE200000000303,2000,303,-6.766757,-78.517276,23.93,24.35,0,18.37,16.67,55.56,R
PE200000000304,2000,304,-6.701921,-78.583278,23.54,23.72,0,7.55,0,NaN,R
PE200000000305,2000,305,-5.453627,-78.706984,23.1,23.51,0,14.29,20,41.67,R
PE200000000306,2000,306,-5.552037,-79.167624,22.48,21.96,50,7.55,0,NaN,R
PE200000000308,2000,308,0,0,25.41,25.58,33.33,4.26,15.38,0,R
PE200000000309,2000,309,-5.264088,-78.879468,26.77,26.78,66.67,2.17,11.76,NaN,R
PE200000000311,2000,311,-5.094913,-78.913399,27.61,27.12,27.27,7.55,20,NaN,R
PE200000000313,2000,313,-7.244033,-78.002814,24.43,24.26,35.71,9.2,0,46.15,R
PE200000000314,2000,314,-6.97785,-79.112793,27.09,24.5,0,19.23,0,NaN,R
PE200000000315,2000,315,-6.852765,-79.145958,23.5,22.86,16.67,4.65,20,0,R
PE200000000316,2000,316,-6.85047,-78.677775,23.85,23.73,16.67,4.48,6.25,NaN,R
PE200000000317,2000,317,-7.069387,-78.725037,25,25.02,33.33,21.43,20,74.07,R
PE200000000318,2000,318,-6.60326,-78.900803,23.48,22.94,33.33,1.72,21.43,37.5,R
PE200000000319,2000,319,-13.514318,-71.98247,25.11,25.43,0,4.17,90.91,NaN,U
PE200000000320,2000,320,-13.52697,-71.974995,25.63,24.88,6.67,5.71,62.5,25,U
PE200000000321,2000,321,-13.530593,-71.97936,24.64,24.7,20,3.33,100,NaN,U
PE200000000322,2000,322,-13.507388,-71.967375,26.06,25.2,7.14,15.62,88.89,NaN,U
PE200000000324,2000,324,-13.530263,-71.944468,26.09,24.1,0,12.2,100,NaN,U
PE200000000325,2000,325,-13.534786,-71.980884,24.31,23.62,16.67,5.13,66.67,NaN,U
PE200000000326,2000,326,-13.526058,-71.981309,24.5,25.52,6.67,10,87.5,0,U
PE200000000327,2000,327,-13.539204,-71.959345,25.3,23.48,0,0,100,NaN,U
PE200000000329,2000,329,-14.027113,-71.556617,23,22.27,25,18.42,25,0,U
PE200000000330,2000,330,-13.958186,-71.605858,23.94,23.64,20,16.92,20,NaN,R
PE200000000332,2000,332,-13.499181,-72.53701,29.32,29.32,0,0,25,NaN,R
PE200000000333,2000,333,-13.321228,-71.951138,24.19,24.82,0,0,100,0,U
PE200000000334,2000,334,-14.283958,-71.234025,24.64,24.63,7.69,19.05,33.33,NaN,U
PE200000000336,2000,336,-14.796649,-71.414916,25.18,24.94,37.5,10.64,15.38,38.46,U
PE200000000337,2000,337,-12.88011,-72.696395,25.51,23.98,9.09,16.98,80,NaN,U
PE200000000338,2000,338,-13.170815,-72.603673,28.43,26.71,0,15,40,25,R
PE200000000339,2000,339,-13.592372,-71.761966,29.14,26.29,0,13.04,66.67,NaN,U
PE200000000341,2000,341,-13.533197,-71.896967,23.45,22.93,0,23.33,33.33,36.36,R
PE200000000342,2000,342,-14.000506,-71.716722,22.28,22.44,29.41,8.75,5,NaN,R
PE200000000343,2000,343,-13.776856,-71.737765,22.95,22.82,7.69,19.2,10,75,R
PE200000000344,2000,344,-13.480348,-72.156667,25.87,24.1,0,9.3,72.73,NaN,R
PE200000000346,2000,346,-13.342472,-71.87047,24.44,23.63,23.53,16.81,14.29,53.33,R
PE200000000347,2000,347,-13.512451,-71.881674,23.89,24.28,0,18,37.5,NaN,R
PE200000000349,2000,349,-14.527168,-71.157486,NaN,NaN,0,23.53,16.67,NaN,R
